,filename,team,team_1,gender,season,date,event,venue,city,toss_winner,toss_decision,player_of_match,umpire,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,method,eliminator,players
0,1000887_info.csv,Australia,Pakistan,male,2016/17,2017/01/13,Pakistan in Australia ODI Series,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,bat,MS Wade,C Shamshuddin,SJ Nogajski,CB Gaffaney,JJ Crowe,Australia,92,,,,,
1,1000889_info.csv,Australia,Pakistan,male,2016/17,2017/01/15,Pakistan in Australia ODI Series,Melbourne Cricket Ground,,Australia,bat,Mohammad Hafeez,P Wilson,SJ Nogajski,C Shamshuddin,JJ Crowe,Pakistan,,6,,,,
2,1000891_info.csv,Australia,Pakistan,male,2016/17,2017/01/19,Pakistan in Australia ODI Series,Western Australia Cricket Association Ground,Perth,Australia,field,SPD Smith,C Shamshuddin,P Wilson,CB Gaffaney,JJ Crowe,Australia,,7,,,,
3,1000893_info.csv,Australia,Pakistan,male,2016/17,2017/01/22,Pakistan in Australia ODI Series,Sydney Cricket Ground,,Australia,bat,DA Warner,MD Martell,P Wilson,C Shamshuddin,JJ Crowe,Australia,86,,,,,
4,1000895_info.csv,Australia,Pakistan,male,2016/17,2017/01/26,Pakistan in Australia ODI Series,Adelaide Oval,,Australia,bat,DA Warner,C Shamshuddin,SJ Nogajski,CB Gaffaney,JJ Crowe,Australia,57,,,,,
5,1001371_info.csv,Australia,New Zealand,male,2016/17,2016/12/04,Chappell-Hadlee Trophy,Sydney Cricket Ground,,Australia,bat,SPD Smith,MD Martell,GA Abood,P Wilson,RB Richardson,Australia,68,,,,,
6,1001373_info.csv,Australia,New Zealand,male,2016/17,2016/12/06,Chappell-Hadlee Trophy,Manuka Oval,Canberra,New Zealand,field,DA Warner,P Wilson,MD Martell,NJ Llong,RB Richardson,Australia,116,,,,,
7,1001375_info.csv,Australia,New Zealand,male,2016/17,2016/12/09,Chappell-Hadlee Trophy,Melbourne Cricket Ground,,Australia,bat,DA Warner,MD Martell,P Wilson,HDPK Dharmasena,RB Richardson,Australia,117,,,,,
8,1003271_info.csv,Scotland,Afghanistan,male,2016,2016/07/04,Afghanistan in Scotland ODI Series,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,field,,IN Ramage,AJT Dowdalls,,DT Jukes,,,,no result,,,
9,1003273_info.csv,Scotland,Afghanistan,male,2016,2016/07/06,Afghanistan in Scotland ODI Series,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Afghanistan,bat,,IN Ramage,AJT Dowdalls,,DT Jukes,Afghanistan,78,,,D/L,,
